Name,Path,Type,Size (bytes),Modification Time
00041.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00041.json,File,448.0,2024-10-02 22:49:37
00042.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00042.json,File,584.0,2024-10-02 22:49:37
00043.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00043.json,File,616.0,2024-10-02 22:49:37
00044.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00044.json,File,759.0,2024-10-02 22:49:37
00045.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00045.json,File,704.0,2024-10-02 22:49:37
00046.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00046.json,File,785.0,2024-10-02 22:49:37
00047.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00047.json,File,680.0,2024-10-02 22:49:37
00048.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00048.json,File,716.0,2024-10-02 22:49:37
00049.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00049.json,File,875.0,2024-10-02 22:49:37
00050.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00050.json,File,747.0,2024-10-02 22:49:37
outputs,C:\Users\kroy2\Documents\python\projects\json_processor\data\outputs,Directory,,2024-10-02 20:40:04
JSON_Claude_AI_question.txt,C:\Users\kroy2\Documents\python\projects\json_processor\JSON_Claude_AI_question.txt,File,3948.0,2024-09-30 20:40:29
json_redacter,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter,Directory,,2024-10-03 07:36:50
cleaned,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned,Directory,,2024-10-02 23:59:28
00001.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00001.json,File,511.0,2024-10-02 23:59:28
00002.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00002.json,File,497.0,2024-10-02 23:59:28
00003.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00003.json,File,452.0,2024-10-02 23:59:28
00004.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00004.json,File,679.0,2024-10-02 23:59:28
00005.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00005.json,File,509.0,2024-10-02 23:59:28
00006.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00006.json,File,531.0,2024-10-02 23:59:28
00007.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00007.json,File,554.0,2024-10-02 23:59:28
00008.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00008.json,File,526.0,2024-10-02 23:59:28
00009.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00009.json,File,576.0,2024-10-02 23:59:28
00010.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00010.json,File,511.0,2024-10-02 23:59:28
00011.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00011.json,File,414.0,2024-10-02 23:59:28
00012.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00012.json,File,638.0,2024-10-02 23:59:28
00013.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00013.json,File,562.0,2024-10-02 23:59:28
00014.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00014.json,File,621.0,2024-10-02 23:59:28
00015.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00015.json,File,514.0,2024-10-02 23:59:28
00016.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00016.json,File,563.0,2024-10-02 23:59:28
00017.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00017.json,File,540.0,2024-10-02 23:59:28
00018.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00018.json,File,528.0,2024-10-02 23:59:28
00019.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00019.json,File,480.0,2024-10-02 23:59:28
00020.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00020.json,File,667.0,2024-10-02 23:59:28
00021.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00021.json,File,585.0,2024-10-02 23:59:28
00022.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00022.json,File,447.0,2024-10-02 23:59:28
00023.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00023.json,File,563.0,2024-10-02 23:59:28
00024.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00024.json,File,559.0,2024-10-02 23:59:28
00025.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00025.json,File,524.0,2024-10-02 23:59:28
00026.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00026.json,File,590.0,2024-10-02 23:59:28
00027.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00027.json,File,600.0,2024-10-02 23:59:28
00028.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00028.json,File,614.0,2024-10-02 23:59:28
00029.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00029.json,File,380.0,2024-10-02 23:59:28
00030.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00030.json,File,461.0,2024-10-02 23:59:28
00031.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00031.json,File,583.0,2024-10-02 23:59:28
00032.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00032.json,File,506.0,2024-10-02 23:59:28
00033.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00033.json,File,600.0,2024-10-02 23:59:28
00034.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00034.json,File,547.0,2024-10-02 23:59:28
00035.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00035.json,File,505.0,2024-10-02 23:59:28
00036.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00036.json,File,602.0,2024-10-02 23:59:28
00037.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00037.json,File,537.0,2024-10-02 23:59:28
00038.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00038.json,File,571.0,2024-10-02 23:59:28
00039.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00039.json,File,480.0,2024-10-02 23:59:28
00040.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00040.json,File,580.0,2024-10-02 23:59:28
00041.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00041.json,File,347.0,2024-10-02 23:59:28
00042.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00042.json,File,457.0,2024-10-02 23:59:28
00043.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00043.json,File,454.0,2024-10-02 23:59:28
00044.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00044.json,File,575.0,2024-10-02 23:59:28
00045.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00045.json,File,548.0,2024-10-02 23:59:28
00046.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00046.json,File,579.0,2024-10-02 23:59:28
00047.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00047.json,File,511.0,2024-10-02 23:59:28
00048.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00048.json,File,539.0,2024-10-02 23:59:28
00049.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00049.json,File,643.0,2024-10-02 23:59:28
00050.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00050.json,File,553.0,2024-10-02 23:59:28
00052.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00052.json,File,1454.0,2024-10-02 23:59:28
00053.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\00053.json,File,1253.0,2024-10-02 23:59:28
test_disk_full.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\cleaned\test_disk_full.json,File,602.0,2024-10-02 23:59:28
json_original,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original,Directory,,2024-10-02 23:59:05
00001.json,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_original\00001.json,File,685.0,2024-10-02 23:57:09
